Customer Group,CustomerName,FactoryName,Order Value,Order Quantity,Margin
ABC S.A.,ABC S.A.,Apparels Village Limited,96964,20775,6817
ABC S.A.,ABC S.A.,Bongo Stitches Ltd.,22493,4686,1406
ABC S.A.,ABC S.A.,Lucky Star Apparels Ltd.,190893,43376,16803
ABC S.A.,ABC S.A.,Mamun Knitwear Ltd,60299,29414,3530
ABC S.A.,ABC S.A.,MG Niche Flair Ltd (Unit-2),22493,4686,1406
ABC S.A.,ABC S.A.,RBSR Fashions Ltd,109157,38562,16608
ABC S.A.,ABC S.A.,Unique Designers Ltd.,36513,11132,6791
Admiral,Admiral Diethnis Athlitiki Ltd.,,1457966,473627,0
Admiral,Admiral Diethnis Athlitiki Ltd.,Aleya Apparels Ltd.,16333,1098,2718
Admiral,Admiral Diethnis Athlitiki Ltd.,Alliance Knit Composite Ltd.,299475,37992,60614
Admiral,Admiral Diethnis Athlitiki Ltd.,Amana Knittex Ltd.,301085,41381,75813
Admiral,Admiral Diethnis Athlitiki Ltd.,APS Knit Composite Ltd.,525436,79696,98508
Admiral,Admiral Diethnis Athlitiki Ltd.,Armana Apparels Ltd,13176,1098,2696
Admiral,Admiral Diethnis Athlitiki Ltd.,Embee International Industries,112327,35544,14090
Admiral,Admiral Diethnis Athlitiki Ltd.,Excom Fashions Ltd.,144240,20102,41453
Admiral,Admiral Diethnis Athlitiki Ltd.,K.C Lingerie LTD,371490,185860,81576
Admiral,Admiral Diethnis Athlitiki Ltd.,Mitali Fashions Ltd.,161957,23115,35334
Admiral,Admiral Diethnis Athlitiki Ltd.,MZM Fashion Ltd.,52924,4095,7536
Admiral,Admiral Diethnis Athlitiki Ltd.,Pakiza Knit Composite Ltd.,2016536,331144,307539
Admiral,Admiral Diethnis Athlitiki Ltd.,VIP Spor Malzemeleri Tekstill SAN. TIC. LTD. STI.,23273,1960,2019
AJM,A.J.M. International Sports Promotions Ltd,HKD SINGAPORE PTE. LTD,58349,4692,9865
Amer Sports,Amer Sports Sourcing Limited,GMS Composite Knitting Ind. Ltd.,1337118,119276,357500
Amplified Clothing,Amplified Clothing Ltd.,Sahinler Egypt - Private Free Zone,516005,173156,91773
Apparel Group FZCO,Pathways FZCO,VIP Spor Malzemeleri Tekstill SAN. TIC. LTD. STI.,98862,9484,9565
Apparel62 SRL,Apparel62 SRL,Basic Shirts Ltd,957319,125125,120533
Apparel62 SRL,Apparel62 SRL,Eve Dress Shirts Ltd.,1100536,181560,171095
Apparel62 SRL,Apparel62 SRL,Hornbill Apparel Limited,75070,23616,13076
Apparel62 SRL,Apparel62 SRL,Minimax Ltd.,94847,23920,10024
Apparel62 SRL,Apparel62 SRL,Mosharaf Apparels Studio Limited,130973,28272,12163
Authentic Brands Group,Dayan Enterprises Corp.,Excom Fashions Ltd.,82119,7786,16549
Authentic Brands Group,Notos Com Holdings SA,Casual Garments Ltd.,103810,8650,18290
Badamax Retail. S.A.,Badamax Retail. S.A.,Jeeva Garments,13226,2814,2955
Badamax Retail. S.A.,Badamax Retail. S.A.,Saktidhara Textiles,10312,1983,1388
Badamax Retail. S.A.,Badamax Retail. S.A.,Sathish Fashion,21999,2668,3303
Basicnet,All Sports Inc.,,10075,3000,0
Basicnet,All Sports Inc.,Haewae Apparel Inc.,37707,2319,9010
Basicnet,All Sports Inc.,NRN Knitting & Garments Ltd,557,215,148
Basicnet,All Sports Inc.,P.A. Knit Composite Ltd.,1632,530,207
Basicnet,All Sports Inc.,Sanma Knit Fashions,2281,120,531
Basicnet,Basic Italia S.P.A (Basic Trademark Kappa s.r.l.),FRENDI FASHIONS. PVT.LTD,14045,1150,4730
Basicnet,CCC. EU SP. ZO. O,Cotton Field (BD) Ltd,124335,23000,30685
Basicnet,CCC. EU SP. ZO. O,Haewae Apparel Inc.,227950,16000,42550
Basicnet,CCC. EU SP. ZO. O,HKD SINGAPORE PTE. LTD,94984,9660,18417
Basicnet,CCC. EU SP. ZO. O,MF Apparels LTD.,199575,27500,47700
Basicnet,CCC. EU SP. ZO. O,N.A.Z Bangladesh Limited,446657,65550,82566
Basicnet,CCC. EU SP. ZO. O,NRN Knitting & Garments Ltd,15540,6000,4140
Basicnet,CCC. EU SP. ZO. O,P.A. Knit Composite Ltd.,144330,35600,25430
Basicnet,CCC. EU SP. ZO. O,Pakiza Knit Composite Ltd.,211180,80700,33940
Basicnet,CCC. EU SP. ZO. O,Sathish Fashion,1699,102,385
Basicnet,Crick Group (Pty) Ltd,MF Apparels LTD.,20703,2770,4949
Basicnet,Crick Group (Pty) Ltd,NRN Knitting & Garments Ltd,1554,600,414
Basicnet,Crick Group (Pty) Ltd,P.A. Knit Composite Ltd.,6952,1661,1405
Basicnet,Crick Group (Pty) Ltd,Smart Shoes Limited,10180,5330,3784
Basicnet,Deichmann SE,Haewae Apparel Inc.,5230,600,1350
Basicnet,Deichmann SE,MF Apparels LTD.,2900,200,670
Basicnet,Deichmann SE,P.A. Knit Composite Ltd.,259429,70249,53381
Basicnet,Diethnis Athlitiki Ltd.,Haewae Apparel Inc.,40845,4714,8512
Basicnet,Diethnis Athlitiki Ltd.,HKD SINGAPORE PTE. LTD,10418,766,2604
Basicnet,Diethnis Athlitiki Ltd.,P.A. Knit Composite Ltd.,51590,10999,10634
Basicnet,Diethnis Athlitiki Ltd.,Sakthi Infra Tex Private Ltd,14308,2125,2776
Basicnet,Diethnis Athlitiki Ltd.,Trent Shoes Limited,8086,3110,1711
Basicnet,Djak D.O.O. Beograd,,1749,108,0
Basicnet,Djak D.O.O. Beograd,Haewae Apparel Inc.,68704,6529,15761
Basicnet,Djak D.O.O. Beograd,HKD SINGAPORE PTE. LTD,8802,497,253
Basicnet,Djak D.O.O. Beograd,MF Apparels LTD.,83785,7034,24342
Basicnet,Djak D.O.O. Beograd,NRN Knitting & Garments Ltd,12770,3939,4178
Basicnet,Djak D.O.O. Beograd,P.A. Knit Composite Ltd.,104609,22646,15518
Basicnet,Djak D.O.O. Beograd,Sakthi Infra Tex Private Ltd,12549,1938,2358
Basicnet,Djak D.O.O. Beograd,Sathish Fashion,871,131,157
Basicnet,Djak D.O.O. Beograd,Smart Shoes Limited,23065,3055,4447
Basicnet,Djak D.O.O. Beograd,Trent Shoes Limited,53318,18600,14400
Basicnet,Djak D.O.O. Beograd,Zamco Apparel Pvt Ltd,2532,436,560
Basicnet,Dosenbach-Ochsner AG,P.A. Knit Composite Ltd.,26496,7680,4070
Basicnet,Eurosport Ltd,Haewae Apparel Inc.,681,62,123
Basicnet,Eurosport Ltd,NRN Knitting & Garments Ltd,956,312,311
Basicnet,Eurosport Ltd,P.A. Knit Composite Ltd.,13574,1292,2710
Basicnet,Eurosport Ltd,Sakthi Infra Tex Private Ltd,1735,242,334
Basicnet,Eurosport Ltd,Zamco Apparel Pvt Ltd,1211,126,275
Basicnet,Eurosports S.R.O.,Haewae Apparel Inc.,3108,98,856
Basicnet,Fros International B.V.,Amana Knittex Ltd.,16227,7650,1692
Basicnet,Kappa France S.A.R.L.,,145484,26875,0
Basicnet,Kappa France S.A.R.L.,APS Knit Composite Ltd.,19800,4500,3375
Basicnet,Kappa France S.A.R.L.,Cotton Field (BD) Ltd,750816,317505,237383
Basicnet,Kappa France S.A.R.L.,Haewae Apparel Inc.,24753,5819,5935
Basicnet,Kappa France S.A.R.L.,HKD SINGAPORE PTE. LTD,10287,700,2587
Basicnet,Kappa France S.A.R.L.,MF Apparels LTD.,61798,8331,15013
Basicnet,Kappa France S.A.R.L.,Multi-line Industries Limited (Footwear),31258,11462,9773
Basicnet,Kappa France S.A.R.L.,Noman Terry Towel Mills Limited,5640,1200,1080
Basicnet,Kappa France S.A.R.L.,NRN Knitting & Garments Ltd,32375,12500,8625
Basicnet,Kappa France S.A.R.L.,P.A. Knit Composite Ltd.,124027,31744,16389
Basicnet,Kappa France S.A.R.L.,Sanma Knit Fashions,3200,500,1075
Basicnet,Kappa France S.A.R.L.,Sathish Fashion,20060,918,6382
Basicnet,Kappa France S.A.R.L.,Smart Shoes Limited,309427,43729,66997
Basicnet,Kappa France S.A.R.L.,Trent Shoes Limited,15247,5225,4640
Basicnet,Kappa S.R.L.,,166531,74253,0
Basicnet,Kappa S.R.L.,Amana Knittex Ltd.,22680,10800,3780
Basicnet,Kappa S.R.L.,Cotton Field (BD) Ltd,413183,174475,128685
Basicnet,Kappa S.R.L.,Haewae Apparel Inc.,1597998,93334,432337
Basicnet,Kappa S.R.L.,HKD SINGAPORE PTE. LTD,146851,10256,27041
Basicnet,Kappa S.R.L.,Jeeva Garments,12330,1800,3150
Basicnet,Kappa S.R.L.,MF Apparels LTD.,124345,15279,36594
Basicnet,Kappa S.R.L.,Mitali Fashions Ltd.,703310,183578,136131
Basicnet,Kappa S.R.L.,Noman Terry Towel Mills Limited,4600,1000,800
Basicnet,Kappa S.R.L.,NRN Knitting & Garments Ltd,23127,7390,6958
Basicnet,Kappa S.R.L.,P.A. Knit Composite Ltd.,958454,209142,158807
Basicnet,Kappa S.R.L.,Ripon Knitwear Ltd,14256,6480,1944
Basicnet,Kappa S.R.L.,Royal Footwear Ltd.,71140,7372,18799
Basicnet,Kappa S.R.L.,Sakthi Infra Tex Private Ltd,792432,116250,166675
Basicnet,Kappa S.R.L.,Sanma Knit Fashions,63488,7690,16733
Basicnet,Kappa S.R.L.,Sathish Fashion,227206,18635,55610
Basicnet,Kappa S.R.L.,Shoeniverse Footwear Limited,651467,90684,143195
Basicnet,Kappa S.R.L.,Smart Shoes Limited,323211,43140,68712
Basicnet,Kappa S.R.L.,Trent Shoes Limited,160111,60760,34823
Basicnet,Kemsa C.I.S.A.,MF Apparels LTD.,64773,6804,16785
Basicnet,Kemsa C.I.S.A.,P.A. Knit Composite Ltd.,21329,3690,3493
Basicnet,Lapal Free Zone B.V.,Trent Shoes Limited,4972,1920,1046
Basicnet,Modivo S.A.,Haewae Apparel Inc.,68875,5000,13125
Basicnet,Modivo S.A.,HKD SINGAPORE PTE. LTD,26877,1700,7837
Basicnet,Modivo S.A.,P.A. Knit Composite Ltd.,83040,17950,19955
Basicnet,Modivo S.A.,Sakthi Infra Tex Private Ltd,2775,300,525
Basicnet,Modivo S.A.,Sanma Knit Fashions,5700,980,1776
Basicnet,Ochsner Sport AG,Haewae Apparel Inc.,26572,6480,6808
Basicnet,Ochsner Sport AG,MF Apparels LTD.,8655,1070,2851
Basicnet,Ochsner Sport AG,P.A. Knit Composite Ltd.,20699,4830,6480
Basicnet,Retail Morado S.A.,Fairfax Couture Pvt Ltd,5963,265,1060
Basicnet,Shanghai Kappa Sporting Goods Co. Ltd.,Haewae Apparel Inc.,7483,266,2433
Basicnet,Shanghai Kappa Sporting Goods Co. Ltd.,Sanma Knit Fashions,1196,70,268
Basicnet,Sportmaster Ltd.,Haewae Apparel Inc.,6524,620,1568
Basicnet,Sportmaster Ltd.,MF Apparels LTD.,44186,3413,12212
Basicnet,Sportmaster Ltd.,NRN Knitting & Garments Ltd,25526,9100,8426
Basicnet,Sportmaster Ltd.,P.A. Knit Composite Ltd.,62082,9144,11416
Basicnet,STX Sport Aps,,4944,1080,0
Basicnet,STX Sport Aps,Alliance Knit Composite Ltd.,220917,34171,46393
Basicnet,STX Sport Aps,Cotton Field (BD) Ltd,9124,4010,2707
Basicnet,STX Sport Aps,Haewae Apparel Inc.,223743,9143,42940
Basicnet,STX Sport Aps,Karooni Fashions Limited.,48996,7200,9756
Basicnet,STX Sport Aps,MF Apparels LTD.,151,24,34
Basicnet,STX Sport Aps,NRN Knitting & Garments Ltd,45530,19728,9033
Basicnet,STX Sport Aps,P.A. Knit Composite Ltd.,379023,105171,59973
Basicnet,STX Sport Aps,Radiance Knitwears Limited,389958,65903,94864
Basicnet,Yun San Corporation,Haewae Apparel Inc.,8798,663,1732
Basicnet,Yun San Corporation,HKD SINGAPORE PTE. LTD,3501,232,949
Basicnet,Yun San Corporation,MF Apparels LTD.,3151,392,748
Basicnet,Yun San Corporation,NRN Knitting & Garments Ltd,759,293,202
Basicnet,Yun San Corporation,P.A. Knit Composite Ltd.,8045,1032,1473
